Name,Aadhaar,ClaimAmount,SubsidyType,Date,ValidAadhaar,AadhaarFlag,ClaimFlag,FraudFlag
Anjali Verma,123456789012,99999,Education,2025-07-08,123456789012,Valid,Valid,PossibleDuplicateFraud
Sneha Gupta,111122223333,99999,LPG,2025-07-03,111122223333,Valid,Valid,SameDayMultipleClaims
Kiran Rao,123456789012,2500,LPG,2025-07-07,123456789012,Valid,Valid,SameDayMultipleClaims
Sneha Gupta,666677778888,4000,LPG,2025-07-07,666677778888,Valid,Valid,SameDayMultipleClaims
Kiran Rao,111122223333,15000,Education,2025-07-01,111122223333,Valid,Valid,PossibleDuplicateFraud
Rakesh Kumar,777788889999,15000,Education,2025-07-09,777788889999,Valid,Valid,SameDayMultipleClaims
Rakesh Kumar,111122223333,12000,LPG,2025-07-03,111122223333,Valid,Valid,SameDayMultipleClaims
Kiran Rao,123456789012,12000,Education,2025-07-09,123456789012,Valid,Valid,PossibleDuplicateFraud
Rahul Sharma,777788889999,15000,LPG,2025-07-13,777788889999,Valid,Valid,PossibleDuplicateFraud
Anjali Verma,666677778888,12000,Education,2025-07-07,666677778888,Valid,Valid,SameDayMultipleClaims
Anjali Verma,123456789012,99999,Farming,2025-07-10,123456789012,Valid,Valid,SameDayMultipleClaims
Anjali Verma,888899990000,3000,LPG,2025-07-13,888899990000,Valid,Valid,PossibleDuplicateFraud
Amit Patel,555566667777,99999,Education,2025-07-06,555566667777,Valid,Valid,None
Priya Singh,444455556666,3000,Education,2025-07-03,444455556666,Valid,Valid,None
Rakesh Kumar,666677778888,99999,Farming,2025-07-06,666677778888,Valid,Valid,None
Vikram Das,555566667777,12000,Farming,2025-07-11,555566667777,Valid,Valid,None
Rahul Sharma,111122223333,2500,Education,2025-07-13,111122223333,Valid,Valid,PossibleDuplicateFraud
Amit Patel,123456789012,3000,Education,2025-07-07,123456789012,Valid,Valid,SameDayMultipleClaims
Vikram Das,555566667777,99999,Housing,2025-07-05,555566667777,Valid,Valid,PossibleDuplicateFraud
Amit Patel,111122223333,3000,Education,2025-07-14,111122223333,Valid,Valid,PossibleDuplicateFraud
Kiran Rao,444455556666,3000,Farming,2025-07-16,444455556666,Valid,Valid,None
Anjali Verma,888899990000,2500,LPG,2025-07-05,888899990000,Valid,Valid,PossibleDuplicateFraud
Rakesh Kumar,888899990000,99999,Housing,2025-07-03,888899990000,Valid,Valid,None
Kiran Rao,555566667777,4000,Housing,2025-07-09,555566667777,Valid,Valid,PossibleDuplicateFraud
Rahul Sharma,777788889999,99999,LPG,2025-07-09,777788889999,Valid,Valid,SameDayMultipleClaims
Priya Singh,123456789012,12000,Housing,2025-07-06,123456789012,Valid,Valid,SameDayMultipleClaims
Vikram Das,123456789012,99999,Education,2025-07-06,123456789012,Valid,Valid,SameDayMultipleClaims
Anjali Verma,888899990000,99999,Education,2025-07-07,888899990000,Valid,Valid,None
Rakesh Kumar,444455556666,3000,LPG,2025-07-11,444455556666,Valid,Valid,None
Vikram Das,123456789012,2500,Education,2025-07-10,123456789012,Valid,Valid,SameDayMultipleClaims
