Name,Aadhaar,ClaimAmount,SubsidyType,Date,FraudLabel
Fariq Malhotra,259611595338,5071,Healthcare,2025-05-02,1
Ryan Goyal,363444394689,77248,Housing,2024-11-03,0
Ucchal Sastry,242699696976,365907,Healthcare,2025-04-19,1
Yash Purohit,665658404291,8419,Equipment,2025-02-12,0
Ati Mannan,394469266263,13460,Healthcare,2024-08-19,0
Bakhshi Cheema,989085532777,362732,Housing,2025-01-07,1
Hemang Brar,401647850609,17583,Equipment,2025-03-13,0
Sachi Boase,406497647731,10146,Education,2024-08-16,0
Ranbir Kar,489006067087,3399,Housing,2025-05-15,1
Ishaan Karan,312428535416,3525,Education,2025-05-06,0
Yash Anand,039092005626,10682,Education,2025-05-20,0
Yashoda Purohit,759955965131,21009,Farming,2024-07-18,0
Charan Mani,288619576122,6322,Healthcare,2024-12-20,0
Jeet Chatterjee,894654112422,6461,Healthcare,2024-07-31,0
Jasmit Parikh,480198589449,15416,LPG,2025-05-06,1
Ishanvi Butala,382854582627,8059,Education,2025-04-13,0
Jagvi Chokshi,985458294203,19287,Equipment,2025-06-06,0
Raagini Bassi,131378432600,211547,Farming,2024-09-10,1
Lakshmi Taneja,602869088775,57840,Housing,2025-03-07,0
Sai Majumdar,562009832736,2443,LPG,2025-06-19,0
Nathaniel Chatterjee,012929929201,7600,Farming,2024-07-08,0
Zaitra Pathak,775445847413,1527,LPG,2025-05-09,0
Charvi Kata,822490934274,7020,Healthcare,2025-03-16,0
Wridesh Buch,573641492864,5241,Equipment,2025-04-13,0
Ishwar Hayre,258753715641,7247,LPG,2024-10-29,0
Madhavi Madan,939725205656,39530,Housing,2025-10-18,1
Mohini Buch,566633080254,15694,Healthcare,2025-05-06,1
Logan Kalla,712516565344,7087,LPG,2025-04-25,0
Leena Majumdar,522181595881,7298,Farming,2025-04-14,0
Manan Sandal,520302769473,11232,Education,2025-04-07,0
Yauvani Kapadia,570278929214,450531,Housing,2024-09-20,1
Om Dutt,131909248762,3377,Farming,2024-10-09,0
Riya Pai,123203668642,93652,Housing,2025-03-04,0
Banjeet Purohit,462718110071,32226,Equipment,2024-08-15,0
Adweta Manda,302714310082,9078,Farming,2024-07-14,0
Krishna Dubey,315391204080,17999,Housing,2025-05-10,1
Champak Mani,294289811664,7397,Healthcare,2025-06-09,0
Maanav Gola,675602080192,1173,Healthcare,2024-10-04,0
Warinder Tripathi,402323585935,9693,Farming,2025-05-13,1
Chaman Singhal,242102499471,47948,Housing,2024-07-23,1
Devansh Soni,132611178006,11592,Healthcare,2024-08-12,0
Leela Master,114627720807,37524,Equipment,2024-11-30,0
Girik Jani,251341252866,40524,Equipment,2024-07-24,1
Isha Sen,574443135182,10576,Healthcare,2024-11-01,1
Pallavi Malhotra,818835523124,6816,Farming,2024-09-17,0
Jagat Batta,356190628360,40621,Equipment,2025-10-16,1
Adya Bail,371191820604,3442,LPG,2024-07-16,0
Bina Ahuja,398954769094,8066,Education,2025-01-13,0
Veda Puri,716826111476,3553,Farming,2024-10-13,0
Tanmayi Chatterjee,371283790002,97072,Housing,2025-02-05,0
Urvashi Raghavan,414714088779,7006,LPG,2024-08-09,0
Divya Babu,369036289177,5742,LPG,2025-01-24,0
Joshua Viswanathan,571826522710,57710,Housing,2025-01-26,0
Girik Gandhi,230635673577,4045,LPG,2024-11-26,0
Girindra Brar,429860203493,2688,LPG,2024-10-17,0
Isaac Gola,451159059256,7117,Healthcare,2024-12-06,0
Chameli Talwar,324156880728,4316,LPG,2024-07-15,0
Naksh Manda,557605878917,29201,Housing,2025-05-07,0
Nathan Gera,728401067645,20099,Equipment,2024-12-31,0
Falak Dutta,432260278462,7073,LPG,2025-01-09,0
Girindra Ghose,846180288239,5477,Farming,2025-10-08,1
Ojas Cherian,656858697443,4700,Education,2025-03-20,0
Yoshita Nazareth,965775833521,38408,Equipment,2024-07-01,0
Warinder Peri,427624671978,34666,Equipment,2025-02-26,0
Eshana Karpe,853733502067,45427,Equipment,2024-09-17,0
Vincent Kashyap,819722399647,79740,Housing,2025-04-01,0
Tejas Kota,956252571509,7009,Healthcare,2025-03-19,0
Gaurang Pathak,070249914107,10495,Education,2025-04-09,0
Suhani Date,080736511332,91968,Housing,2024-11-13,0
Ansh Vohra,887858039127,65610,Housing,2024-07-20,0
Lakshit Murty,373102511735,13356,Farming,2025-03-02,0
Daniel Dalal,996731312131,54365,Equipment,2024-10-03,0
Yug Sunder,423653755849,4257,Education,2025-04-08,0
Vritti Dara,784415056828,94709,Housing,2024-07-27,0
Ishaan Subramaniam,196156078327,5882,LPG,2025-06-19,0
Rudra Mitra,862685272876,15002,Education,2024-09-15,0
Riya Dhingra,252160252394,4554,Education,2025-06-06,0
Siya Nath,363182425805,2447,LPG,2024-08-07,0
Balhaar Yogi,087783471062,34531,Equipment,2024-10-22,0
Kala Jani,672617362924,6775,LPG,2025-06-08,0
Mohini Narasimhan,405153195205,5408,Healthcare,2025-05-26,0
Raghav Aggarwal,495860150085,5177,Healthcare,2024-11-16,0
Tanveer Pandit,375482145653,19570,Farming,2025-03-29,0
Qarin Brahmbhatt,268395070513,9357,Education,2025-01-29,0
Jyoti Sha,941347509889,12738,Healthcare,2025-02-04,0
Upasna Mani,775790603209,1797,Healthcare,2024-12-20,0
Tara Baria,438563375984,10544,Healthcare,2024-11-02,0
Mahika Puri,998233215328,20060,Farming,2024-10-19,0
Ekalinga Kulkarni,528514190827,3561,LPG,2025-02-17,0
Jeet Ganesh,636934115256,6640,LPG,2025-05-29,0
Yagnesh Bhalla,826018777953,22062,Farming,2024-11-22,0
Anay Dhaliwal,017711467265,30880,Equipment,2024-10-06,0
Anika Raman,192084122203,34734,Equipment,2025-06-16,0
Ryan Rattan,375993345823,8230,Healthcare,2025-03-15,0
Udyati Shenoy,955030795825,6580,LPG,2025-02-26,0
Laban Oza,652927813624,35189,Equipment,2025-06-28,0
Kala Modi,872447839071,4838,Farming,2024-09-24,0
Maanav Yadav,069070024245,7751,Healthcare,2025-04-25,0
Chandresh Chaudhry,103142175188,55970,Housing,2025-03-04,0
Mitesh Korpal,067550576853,3422,LPG,2024-11-30,0
Manbir Mani,912686498647,3407,Housing,2025-05-20,1
Faqid Oak,335421689421,23549,Farming,2024-09-21,1
Niharika Bhatti,435110269395,2835,LPG,2024-07-26,0
Rayaan Samra,673799568808,6303,LPG,2025-05-03,0
Geetika Thakur,111091571030,2084,Education,2024-07-30,0
Kabir Bala,383890117528,12208,Equipment,2025-05-25,0
Nihal Bhatia,788158141088,23921,Farming,2024-12-12,0
Faraj Bose,425628607813,4614,Healthcare,2025-06-30,0
Falak Merchant,171827548015,20415,Housing,2024-11-23,0
Ubika Shukla,934135818801,44220,Housing,2025-03-12,0
Qushi Dara,697374206735,4564,Education,2025-02-20,0
Jalsa Nayak,689779036496,3459,LPG,2025-06-08,0
Rajeshri Gole,911611464461,19988,Education,2025-03-16,0
Ekapad Narang,442381622664,12770,Healthcare,2025-05-11,0
Turvi Lata,293690706487,18728,Farming,2024-12-19,0
Balveer Dugal,480321621597,5253,LPG,2024-10-10,0
Gaurika Prabhakar,195052858930,9195,LPG,2025-05-18,1
Krishna Bhavsar,972748561366,12057,Farming,2025-04-14,0
Lavanya Sidhu,971713562754,8509,Farming,2024-10-13,0
Forum Wable,677205938020,44783,Housing,2024-12-08,0
Jhalak Sastry,847870050506,5810,Education,2025-05-31,0
Riya Barman,855179154369,13593,Healthcare,2024-07-21,0
Owen Shankar,920711523802,12491,Farming,2024-09-25,0
Mugdha Merchant,181230738880,16618,Education,2025-05-21,1
Gaurangi Wali,619971659656,79269,Housing,2025-01-25,0
Balvan Memon,203023348077,42647,Housing,2025-03-05,0
Bhavini Prashad,870128087034,18695,Education,2024-08-31,0
