Name,Aadhaar,ClaimAmount,SubsidyType,Date,AadhaarFlag,ClaimFlag,FraudType,ML_Anomaly
Anjali Verma,123456789012,99999,Education,2025-07-08,True,True,Duplicate Aadhaar | Duplicate Claim,1
Sneha Gupta,111122223333,99999,LPG,2025-07-03,True,True,Duplicate Aadhaar | Duplicate Claim,1
Kiran Rao,123456789012,2500,LPG,2025-07-07,True,False,Duplicate Aadhaar,1
Sneha Gupta,666677778888,4000,LPG,2025-07-07,True,True,Duplicate Aadhaar | Duplicate Claim,1
Kiran Rao,111122223333,15000,Education,2025-07-01,True,True,Duplicate Aadhaar | Duplicate Claim,1
Rakesh Kumar,777788889999,15000,Education,2025-07-09,True,False,Duplicate Aadhaar,1
Rakesh Kumar,111122223333,12000,LPG,2025-07-03,True,True,Duplicate Aadhaar | Duplicate Claim,1
Kiran Rao,123456789012,12000,Education,2025-07-09,True,True,Duplicate Aadhaar | Duplicate Claim,1
Rahul Sharma,777788889999,15000,LPG,2025-07-13,True,True,Duplicate Aadhaar | Duplicate Claim,1
Anjali Verma,666677778888,12000,Education,2025-07-07,True,True,Duplicate Aadhaar | Duplicate Claim,1
Anjali Verma,123456789012,99999,Farming,2025-07-10,True,False,Duplicate Aadhaar,1
Anjali Verma,888899990000,3000,LPG,2025-07-13,True,True,Duplicate Aadhaar | Duplicate Claim,1
Amit Patel,555566667777,99999,Education,2025-07-06,True,True,Duplicate Aadhaar | Duplicate Claim,1
Priya Singh,444455556666,3000,Education,2025-07-03,True,False,Duplicate Aadhaar,1
Rakesh Kumar,666677778888,99999,Farming,2025-07-06,True,False,Duplicate Aadhaar,1
Vikram Das,555566667777,12000,Farming,2025-07-11,True,False,Duplicate Aadhaar,1
Rahul Sharma,111122223333,2500,Education,2025-07-13,True,False,Duplicate Aadhaar,1
Amit Patel,123456789012,3000,Education,2025-07-07,True,True,Duplicate Aadhaar | Duplicate Claim,1
Vikram Das,555566667777,99999,Housing,2025-07-05,True,False,Duplicate Aadhaar,1
Amit Patel,111122223333,3000,Education,2025-07-14,True,True,Duplicate Aadhaar | Duplicate Claim,1
Kiran Rao,444455556666,3000,Farming,2025-07-16,True,False,Duplicate Aadhaar,1
Anjali Verma,888899990000,2500,LPG,2025-07-05,True,True,Duplicate Aadhaar | Duplicate Claim,1
Rakesh Kumar,888899990000,99999,Housing,2025-07-03,True,False,Duplicate Aadhaar,1
Kiran Rao,555566667777,4000,Housing,2025-07-09,True,False,Duplicate Aadhaar,1
Rahul Sharma,777788889999,99999,LPG,2025-07-09,True,True,Duplicate Aadhaar | Duplicate Claim,1
Priya Singh,123456789012,12000,Housing,2025-07-06,True,False,Duplicate Aadhaar,1
Vikram Das,123456789012,99999,Education,2025-07-06,True,True,Duplicate Aadhaar | Duplicate Claim,1
Anjali Verma,888899990000,99999,Education,2025-07-07,True,True,Duplicate Aadhaar | Duplicate Claim,1
Rakesh Kumar,444455556666,3000,LPG,2025-07-11,True,True,Duplicate Aadhaar | Duplicate Claim,1
Vikram Das,123456789012,2500,Education,2025-07-10,True,True,Duplicate Aadhaar | Duplicate Claim,1
