Name,Aadhaar,ClaimAmount,SubsidyType,Date,ReconstructionError,FraudType
Anjali Verma,123456789012,99999,Education,2025-07-08,1.089384,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Sneha Gupta,111122223333,99999,LPG,2025-07-03,0.6804852,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Kiran Rao,123456789012,2500,LPG,2025-07-07,0.8211191,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Sneha Gupta,666677778888,4000,LPG,2025-07-07,0.4274924,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Kiran Rao,111122223333,15000,Education,2025-07-01,0.48341903,DuplicateAadhaar;MultiAadhaar;
Rakesh Kumar,777788889999,15000,Education,2025-07-09,0.50923985,DuplicateAadhaar;MultiAadhaar;
Rakesh Kumar,111122223333,12000,LPG,2025-07-03,0.35728696,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Kiran Rao,123456789012,12000,Education,2025-07-09,0.5017371,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Rahul Sharma,777788889999,15000,LPG,2025-07-13,0.47476652,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Anjali Verma,666677778888,12000,Education,2025-07-07,0.26827225,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Anjali Verma,123456789012,99999,Farming,2025-07-10,0.32368484,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Anjali Verma,888899990000,3000,LPG,2025-07-13,0.26360992,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Amit Patel,555566667777,99999,Education,2025-07-06,0.37549248,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Priya Singh,444455556666,3000,Education,2025-07-03,0.8540785,DuplicateAadhaar;MultiAadhaar;
Rakesh Kumar,666677778888,99999,Farming,2025-07-06,0.38601115,DuplicateAadhaar;MultiAadhaar;
Vikram Das,555566667777,12000,Farming,2025-07-11,0.6853456,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Rahul Sharma,111122223333,2500,Education,2025-07-13,0.4539907,DuplicateAadhaar;MultiAadhaar;
Amit Patel,123456789012,3000,Education,2025-07-07,0.35728696,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Vikram Das,555566667777,99999,Housing,2025-07-05,0.42270133,DuplicateAadhaar;MultiAadhaar;
Amit Patel,111122223333,3000,Education,2025-07-14,0.3396803,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Kiran Rao,444455556666,3000,Farming,2025-07-16,0.38375744,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Anjali Verma,888899990000,2500,LPG,2025-07-05,0.48946133,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Rakesh Kumar,888899990000,99999,Housing,2025-07-03,0.40536323,DuplicateAadhaar;MultiAadhaar;
Kiran Rao,555566667777,4000,Housing,2025-07-09,0.30446416,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Rahul Sharma,777788889999,99999,LPG,2025-07-09,0.27214193,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Priya Singh,123456789012,12000,Housing,2025-07-06,0.36113086,DuplicateAadhaar;MultiAadhaar;
Vikram Das,123456789012,99999,Education,2025-07-06,0.6784501,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Anjali Verma,888899990000,99999,Education,2025-07-07,0.65829134,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
Rakesh Kumar,444455556666,3000,LPG,2025-07-11,0.30143347,DuplicateAadhaar;MultiAadhaar;
Vikram Das,123456789012,2500,Education,2025-07-10,0.43748093,DuplicateAadhaar;MultiAadhaar;FrequentClaims;
