Name,Aadhaar,ClaimAmount,SubsidyType,Date,AadhaarFlag,ClaimFlag,FraudFlag,FraudDetected
Anjali Verma,123456789012,99999,Education,2025-07-08,true,false,true,1
Sneha Gupta,111122223333,99999,LPG,2025-07-03,true,false,true,1
Kiran Rao,123456789012,2500,LPG,2025-07-07,true,false,true,1
Sneha Gupta,666677778888,4000,LPG,2025-07-07,true,false,true,1
Kiran Rao,111122223333,15000,Education,2025-07-01,true,false,true,1
Rakesh Kumar,777788889999,15000,Education,2025-07-09,true,false,true,1
Rakesh Kumar,111122223333,12000,LPG,2025-07-03,true,false,true,1
Kiran Rao,123456789012,12000,Education,2025-07-09,true,false,true,1
Rahul Sharma,777788889999,15000,LPG,2025-07-13,true,false,true,1
Anjali Verma,666677778888,12000,Education,2025-07-07,true,false,true,1
Anjali Verma,123456789012,99999,Farming,2025-07-10,true,false,true,1
Anjali Verma,888899990000,3000,LPG,2025-07-13,true,false,true,1
Amit Patel,555566667777,99999,Education,2025-07-06,true,false,true,1
Priya Singh,444455556666,3000,Education,2025-07-03,true,false,true,1
Rakesh Kumar,666677778888,99999,Farming,2025-07-06,true,false,true,1
Vikram Das,555566667777,12000,Farming,2025-07-11,true,false,true,1
Rahul Sharma,111122223333,2500,Education,2025-07-13,true,false,true,1
Amit Patel,123456789012,3000,Education,2025-07-07,true,false,true,1
Vikram Das,555566667777,99999,Housing,2025-07-05,true,false,true,1
Amit Patel,111122223333,3000,Education,2025-07-14,true,false,true,1
Kiran Rao,444455556666,3000,Farming,2025-07-16,true,false,true,1
Anjali Verma,888899990000,2500,LPG,2025-07-05,true,false,true,1
Rakesh Kumar,888899990000,99999,Housing,2025-07-03,true,false,true,1
Kiran Rao,555566667777,4000,Housing,2025-07-09,true,false,true,1
Rahul Sharma,777788889999,99999,LPG,2025-07-09,true,false,true,1
Priya Singh,123456789012,12000,Housing,2025-07-06,true,false,true,1
Vikram Das,123456789012,99999,Education,2025-07-06,true,false,true,1
Anjali Verma,888899990000,99999,Education,2025-07-07,true,false,true,1
Rakesh Kumar,444455556666,3000,LPG,2025-07-11,true,false,true,1
Vikram Das,123456789012,2500,Education,2025-07-10,true,false,true,1
